Jaro-Winkler distance,ours,closest CAC match
0.9588661832564273,933 W Race St - Kingston - TN - 37763,933 W Race Street - Kingston - TN - 37763
0.9578947368421054,79-01 Broadway -  - NY - 11373,79-01 Broadway - Elmhurst - NY - 11373
0.9578319783197832,800 Spruce St - Philadelphia - PA - 19107,800 Spruce Street - Philadelphia - PA - 19107
0.9577777777777777,435 Lewis Ave - Meriden - CT - 06451,435 Lewis Avenue - Meridien - CT - 06451
0.9577777777777777,3635 Market St - Hoover - AL - 35226,3635 Market Street - Hoover - AL - 35226
0.9576719576719576,4911 Sandhill Dr - Sugar Land - TX - 77479,4907 Sandhill Drive - Sugar Land - TX - 77479
0.9576326530612245,1630 Rio Rancho Blvd SE - Rio Rancho - NM - 87124,1721 Rio Rancho Blvd. SE - Rio Rancho - NM - 87124
0.9570953436807095,365 Montauk Ave - New London - CT - 06320,365 Montauk Avenue - New London - CT - 06320
0.9557543231961837,56 Franklin St - Waterbury - CT - 06706,56 Franklin Street - Waterbury - CT - 06706
0.9557543231961837,1300 Crane St - Menlo Park - CA - 94025,1300 Crane Street - Menlo Park - CA - 94025
0.955448717948718,1218 Trotwood Ave Bldg C - Columbia - TN - 38401,"1218 Trotwood Avenue, Bldg C - Columbia - TN - 38401"
0.9554158607350097,50 Hospital Dr - Hendersonville - NC - 28792,50 Hospital Drive - Hendersonville - NC - 28792
0.9550613048726257,5150 Journal Center Blvd NE - Albuquerque - NM - 87109,5150 Journal Center Blvd. SE - Albuquerque - NM - 87109
0.9546365914786968,68 Robbins St - Waterbury - CT - 06708,68 Robbins Street - Waterbury - CT - 06708
0.9527777777777777,51 N 39th St - Philadelphia - PA - 19104,51 N. 39th Street - Philadelphia - PA - 19104
